9.77, 9.77, 100, 100, 100
48.83, 48.83, 500, 100, 100
 73.24, 73.24, 750, 100, 100
97.66, 97.66, 1000, 100, 100
100.00, 99.90, 2000, 100, 100
100.00, 100.00, 3000, 100, 100
100.00, 100.00, 4000, 100, 100
100.00, 100.00, 5000, 100, 100
100.00, 100.00, 6000, 100, 100
100.00, 100.00, 7000, 100, 100
100.00, 100.00, 8000, 100, 100
100.00, 100.00, 9000, 100, 100
100.00, 100.00, 10000, 100, 100
9.57, 9.77, 100, 75, 100
45.02, 45.61, 500, 75, 100
64.06, 64.36, 750, 75, 100
79.49, 80.76, 1000, 75, 100
100.00, 100.00, 2000, 75, 100
100.00, 100.00, 3000, 75, 100
100.00, 100.00, 4000, 75, 100
100.00, 100.00, 5000, 75, 100
100.00, 100.00, 6000, 75, 100
100.00, 100.00, 7000, 75, 100
100.00, 100.00, 8000, 75, 100
100.00, 100.00, 9000, 75, 100
100.00, 100.00, 10000, 75, 100
9.38, 9.57, 100, 50, 100
42.77, 42.77, 500, 50, 100
60.35, 60.94, 750, 50, 100
73.63, 74.32, 1000, 50, 100
100.00, 100.00, 2000, 50, 100
100.00, 100.00, 3000, 50, 100
100.00, 100.00, 4000, 50, 100
100.00, 100.00, 5000, 50, 100
100.00, 100.00, 6000, 50, 100
100.00, 100.00, 7000, 50, 100
100.00, 100.00, 8000, 50, 100
100.00, 100.00, 9000, 50, 100
100.00, 100.00, 10000, 50, 100
9.47, 9.38, 100, 25, 100
41.50, 39.84, 500, 25, 100
55.37, 55.66, 750, 25, 100
68.16, 66.50, 1000, 25, 100
94.14, 93.16, 2000, 25, 100
99.41, 99.51, 3000, 25, 100
100.00, 100.00, 4000, 25, 100
100.00, 100.00, 5000, 25, 100
100.00, 100.00, 6000, 25, 100
100.00, 100.00, 7000, 25, 100
100.00, 100.00, 8000, 25, 100
100.00, 100.00, 9000, 25, 100
100.00, 100.00, 10000, 25, 100
9.47, 9.18, 100, 0, 100
38.87, 38.57, 500, 0, 100
52.73, 52.64, 750, 0, 100
62.79, 62.99, 1000, 0, 100
85.35, 87.79, 2000, 0, 100
95.02, 95.90, 3000, 0, 100
97.85, 98.54, 4000, 0, 100
99.32, 99.41, 5000, 0, 100
99.61, 99.71, 6000, 0, 100
99.80, 100.00, 7000, 0, 100
100.00, 100.00, 8000, 0, 100
100.00, 100.00, 9000, 0, 100
100.00, 100.00, 10000, 0, 100
9.28, 9.18, 100, 10, 100
40.23, 38.96, 500, 10, 100
53.12, 51.66, 750, 10, 100
63.67, 63.48, 1000, 10, 100
89.45, 89.06, 2000, 10, 100
97.46, 96.68, 3000, 10, 100
99.32, 99.61, 4000, 10, 100
99.61, 100.00, 5000, 10, 100
100.00, 100.00, 6000, 10, 100
100.00, 100.00, 7000, 10, 100
100.00, 100.00, 8000, 10, 100
100.00, 100.00, 9000, 10, 100
100.00, 100.00, 10000, 10, 100

